"nuvirdi";"teg_eign";"matssvaedi";"ibm2"
27822;"Íbúðareign";80;124.3
10486;"Íbúðareign";72;48.6
25124;"Íbúðareign";70;81.7
18472;"Íbúðareign";80;72.7
17487;"Íbúðareign";25;55.7
17169;"Íbúðareign";91;68
29993;"Íbúðareign";85;100
17566;"Íbúðareign";284;62.6
22441;"Íbúðareign";270;82.9
37279;"Einbýlishús";75;114.7
35877;"Einbýlishús";100;190.6
21272;"Íbúðareign";120;96.6
21273;"Íbúðareign";180;81.9
17405;"Íbúðareign";70;56.8
16855;"Íbúðareign";72;66.3
17690;"Íbúðareign";130;61.2
14986;"Íbúðareign";72;46.2
17000;"Íbúðareign";100;88.6
16051;"Íbúðareign";25;51.2
20257;"Íbúðareign";100;86.2
17786;"Íbúðareign";100;66.3
25336;"Íbúðareign";70;86.9
17491;"Íbúðareign";100;60.3
21825;"Íbúðareign";80;101.7
19381;"Íbúðareign";130;87.6
22857;"Íbúðareign";100;93.8
17890;"Íbúðareign";170;66.1
12500;"Íbúðareign";90;49.6
20000;"Íbúðareign";100;83
36415;"Íbúðareign";80;139.9
24369;"Íbúðareign";90;89
31170;"Íbúðareign";90;97.5
34564;"Íbúðareign";281;85.3
25122;"Íbúðareign";72;94.3
12564;"Íbúðareign";72;55.6
15013;"Íbúðareign";170;83.2
27817;"Íbúðareign";140;107
20823;"Íbúðareign";280;81.2
27148;"Íbúðareign";72;114
28330;"Íbúðareign";130;118.3
20076;"Íbúðareign";160;74
16023;"Íbúðareign";91;64.7
39780;"Einbýlishús";120;139.1
31993;"Íbúðareign";280;86
17182;"Íbúðareign";11;62.4
25466;"Íbúðareign";270;110.6
21106;"Íbúðareign";100;84.3
14820;"Íbúðareign";20;48.4
21863;"Íbúðareign";180;87
21130;"Íbúðareign";90;86.6
16870;"Íbúðareign";20;48.1
55508;"Einbýlishús";281;226.1
23886;"Íbúðareign";100;121.4
18865;"Íbúðareign";130;76.7
25606;"Íbúðareign";80;110.6
17380;"Íbúðareign";100;66.9
23520;"Íbúðareign";130;88.7
26818;"Íbúðareign";72;106.4
17962;"Íbúðareign";220;83
16876;"Íbúðareign";25;57.2
21441;"Íbúðareign";100;96.8
32397;"Íbúðareign";85;141.4
43141;"Íbúðareign";80;154.3
25973;"Íbúðareign";91;117.3
29235;"Íbúðareign";283;157.4
16259;"Íbúðareign";25;60.2
23100;"Íbúðareign";180;110.8
16570;"Íbúðareign";170;76
23463;"Íbúðareign";281;77.5
23750;"Íbúðareign";25;80.3
17475;"Íbúðareign";170;89.4
17913;"Íbúðareign";281;81.2
16499;"Íbúðareign";11;60.4
12979;"Íbúðareign";281;49
19376;"Íbúðareign";11;56.2
17995;"Íbúðareign";170;110.6
22553;"Íbúðareign";90;68.8
13500;"Íbúðareign";100;46.2
34948;"Íbúðareign";100;129.4
8296;"Íbúðareign";72;26.7
22476;"Einbýlishús";282;81.5
22220;"Íbúðareign";90;95.2
23419;"Íbúðareign";110;87.4
25894;"Íbúðareign";20;76.9
21165;"Íbúðareign";130;79.7
12700;"Íbúðareign";161;50.7
18868;"Íbúðareign";20;77
16866;"Íbúðareign";90;53.1
26428;"Íbúðareign";70;90.3
29612;"Íbúðareign";91;138.4
23384;"Íbúðareign";150;70
18200;"Íbúðareign";100;83
21749;"Íbúðareign";70;69
19688;"Íbúðareign";160;97.4
21588;"Íbúðareign";280;69.6
22500;"Íbúðareign";90;109.6
25761;"Íbúðareign";72;81.9
16489;"Íbúðareign";90;53.5
15143;"Íbúðareign";150;74.2
17468;"Íbúðareign";72;57.3
17814;"Íbúðareign";130;79.5
30191;"Íbúðareign";281;131.7
18126;"Íbúðareign";220;76.1
15634;"Íbúðareign";200;64.3
18865;"Íbúðareign";130;101.9
20750;"Íbúðareign";20;78
9186;"Íbúðareign";150;35.5
17992;"Íbúðareign";90;64
25300;"Íbúðareign";100;94.6
13049;"Íbúðareign";100;44
17451;"Íbúðareign";160;80.6
29541;"Íbúðareign";25;79.1
18387;"Íbúðareign";200;103.5
16893;"Íbúðareign";72;67.8
25967;"Íbúðareign";20;74.8
17691;"Íbúðareign";72;65.1
20815;"Íbúðareign";150;96.8
16455;"Íbúðareign";160;74.6
24572;"Íbúðareign";120;107.1
23784;"Íbúðareign";20;61.6
14494;"Íbúðareign";20;37.4
33654;"Íbúðareign";270;130.9
12998;"Íbúðareign";161;73.3
29476;"Íbúðareign";25;93.1
24269;"Íbúðareign";90;85.4
18879;"Íbúðareign";150;81.7
20470;"Íbúðareign";80;74.9
17662;"Íbúðareign";281;51.2
21368;"Íbúðareign";25;59.4
22448;"Íbúðareign";80;77.6
18993;"Íbúðareign";100;61
17300;"Íbúðareign";161;89.1
19986;"Íbúðareign";120;90.3
18822;"Íbúðareign";140;72.6
18500;"Íbúðareign";80;74.1
18215;"Íbúðareign";150;100.2
16856;"Íbúðareign";170;89.9
34903;"Íbúðareign";100;120.2
16138;"Íbúðareign";130;64.6
13157;"Íbúðareign";100;47.6
42615;"Einbýlishús";160;248.9
21751;"Íbúðareign";100;83.5
21162;"Íbúðareign";100;92.5
15325;"Íbúðareign";100;57.7
22907;"Íbúðareign";110;79.4
19328;"Íbúðareign";100;72.3
14434;"Íbúðareign";160;80
14260;"Íbúðareign";100;41.4
20996;"Íbúðareign";283;106.5
43166;"Íbúðareign";91;150.8
18477;"Íbúðareign";200;92.7
22275;"Íbúðareign";20;80.9
10103;"Íbúðareign";220;31
